id;name;region;type;difficulty;time;instructions;tags;calories;servings;description;img
75;Пельмени с сметаной;Европейская кухня;Ужин;Medium;30;"[""Варить пельмени."",""Подавать с сметаной и зеленью.""]";"[""Европейская кухня"",""Diner""]";400;4;Пельмени - классическое русское блюдо из теста и мясной начинки.;pct_3
76;Суп-пюре из брокколи;Европейская кухня;Обед;Easy;25;"[""Варить брокколи, морковь, лук."",""Пюрировать овощи, добавить сливки."",""Подавать горячим.""]";"[""Европейская кухня"",""Lunch""]";200;2;Суп-пюре из брокколи - легкий и полезный суп с нежным вкусом.;pct_4
77;Картофельный салат с огурцами и луком;Европейская кухня;Обед;Easy;20;"[""Варить картофель, нарезать огурцы, лук."",""Смешать с майонезом."",""Подавать охлажденным.""]";"[""Европейская кухня"",""Lunch""]";250;3;Картофельный салат - классический салат из картофеля с огурцами, луком и майонезом.;pct_5
78;Классический тирамису;Европейская кухня;Ужин;Hard;40;"[""Приготовить крем."",""Сложить слои печенья, пропитанного кофе, и крема."",""Посыпать какао."",""Охладить.""]";"[""Европейская кухня"",""Diner""]";350;6;Тирамису - итальянский десерт на основе маскарпоне, кофе и крема.;pct_6
79;Минестроне;Европейская кухня;Обед;Medium;35;"[""Обжарить лук, морковь, сельдерей."",""Добавить бульон, картофель, помидоры, фасоль."",""Тушить до готовности."",""Подавать с зеленью.""]";"[""Европейская кухня"",""Lunch""]";300;4;Минестроне - итальянский суп из красной фасоли и разнообразных овощей.;pct_1
80;Пекинская утка;Азиатская кухня;Ужин;Hard;180;"[""Мариновать утку в специях"",""Запечь в духовке до золотистой корочки"",""Нарезать и подавать с лепешками и соусом хойсин""]";"[""Азиатская кухня"",""Diner""]";900;4;Пекинская утка - традиционное китайское блюдо, требующее некоторого времени на приготовление, но неповторимо по вкусу.;pct_2
81;Суши;Азиатская кухня;Обед;Medium;60;"[""Приготовить рис и уксусный микс"",""Нарезать свежую рыбу и овощи"",""Наматывать рис на лист водоросли с начинкой"",""Нарезать и подавать с имбирным маринадом и васаби""]";"[""Азиатская кухня"",""Lunch""]";600;2;Суши - популярное японское блюдо, требующее определенных навыков при готовке, но порадует вас своим вкусом и видом.;pct_3
82;Том ям;Азиатская кухня;Обед;Medium;40;"[""Сварить бульон из кокосового молока и специй"",""Добавить мясо, грибы и овощи"",""Подавать горячим с лимонной травой""]";"[""Азиатская кухня"",""Lunch""]";500;4;Том ям - пикантный тайский суп с кокосовым молоком, который прекрасно согреет вас в холодные дни.;pct_4
83;Пад тай;Азиатская кухня;Ужин;Medium;30;"[""Обжарить лук, чеснок и перец чили"",""Добавить морепродукты, таиландские лапшу и соус"",""Подавать горячим с арахисом и лаймом""]";"[""Азиатская кухня"",""Diner""]";550;2;Пад тай - тайское блюдо из лапши с острым соусом и морепродуктами, которое легко и быстро приготовить дома.;pct_5
84;Кимчи;Азиатская кухня;Обед;Easy;60;"[""Мариновать капусту в соли и специях"",""Добавить чеснок, имбирь, перец и рыбий соус"",""Дать настояться несколько дней""]";"[""Азиатская кухня"",""Lunch""]";300;6;Кимчи - корейская закуска из квашеной капусты, является не только вкусным, но и полезным блюдом.;pct_6
85;Рамен;Азиатская кухня;Обед;Hard;90;"[""Варить бульон из куриного мяса и костей"",""Добавить лапшу, яйца, мясо и овощи"",""Подавать горячим с зеленью и луком""]";"[""Азиатская кухня"",""Lunch""]";700;4;Рамен - японский суп с лапшой, который готовится долго, но результат стоит ожидания.;pct_1
86;Хара-ка;Азиатская кухня;Ужин;Medium;45;"[""Обжарить куриное филе"",""Добавить карри-пасту, кокосовое молоко и овощи"",""Добавить маслины и специи"",""Подавать с рисом""]";"[""Азиатская кухня"",""Diner""]";600;2;Хара-ка - таиландское блюдо с сочным мясом и ароматным карри, которое освежает и насыщает.;pct_2
87;Бибимбап;Азиатская кухня;Обед;Medium;40;"[""Обжарить овощи и мясо"",""Приготовить рис"",""Выложить все ингредиенты в миску"",""Добавить готовый соус"",""Перемешать и подавать""]";"[""Азиатская кухня"",""Lunch""]";550;4;Бибимбап - корейское блюдо из риса с овощами, мясом и острым соусом, прекрасно подойдет для обеда.;pct_3
88;Филе макау;Азиатская кухня;Ужин;Hard;90;"[""Замочить куриное филе в маринаде"",""Завернуть в бекон"",""Запечь в духовке"",""Подавать с овощами и гарниром""]";"[""Азиатская кухня"",""Diner""]";600;2;Филе макау - блюдо макаунской кухни с сочным филе и нежной начинкой, которое порадует вас своим вкусом.;pct_4
89;Тахины;Азиатская кухня;Завтрак;Easy;15;"[""Смешать тахини, мед и соль"",""Размешать до однородной массы"",""Подавать с тостом и фруктами""]";"[""Азиатская кухня"",""Breakfast""]";400;2;Тахини - израильское блюдо из кунжутной пасты, которое идеально подойдет для легкого и питательного завтрака.;pct_5
90;Гон Пао Чицзи;Азиатская кухня;Обед;Medium;30;"[""Обжарьте курицу с арахисами и перцем чили."",""Добавьте соус из соевого масла, имбиря и чеснока."",""Готовьте до тех пор, пока все ингредиенты не проготовятся""]";"[""Азиатская кухня"",""Lunch""]";350;4;Это знаменитое китайское блюдо с куриной грудкой, арахисами и острым перцем чили.;pct_6
91;Яо цза фань;Азиатская кухня;Завтрак;Easy;20;"[""Вскипятите рис."",""Добавьте тертый имбирь и масло кунжутное.""]";"[""Азиатская кухня"",""Breakfast""]";200;2;Это распространенное китайское блюдо на завтрак, состоящее из риса с имбирем и кунжутным маслом.;pct_1
92;Мапо тофу;Азиатская кухня;Обед;Hard;45;"[""Обжарьте фарш с чесноком и имбирем."",""Добавьте нарезанный тофу, соус чили и кунжутное масло."",""Поварите до готовности.""]";"[""Азиатская кухня"",""Lunch""]";300;4;Это острое блюдо из тофу, фарша и соуса чили. Подается с рисом.;pct_2
93;Фунцзяньский ломоть;Азиатская кухня;Ужин;Medium;40;"[""Обжарьте говядину с красным перцем."",""Добавьте овощи и соус острый."",""Тушите до готовности""]";"[""Азиатская кухня"",""Diner""]";400;4;Это традиционное блюдо Фуцзяньской кухни с говядиной, овощами и острым соусом.;pct_3
94;Хунтунь суп;Азиатская кухня;Обед;Medium;30;"[""Сварите бульон из куриного мяса и имбиря."",""Добавьте лапшу, куриное филе и овощи.""]";"[""Азиатская кухня"",""Lunch""]";250;2;Этот ароматный суп с курицей и лапшой идеально подходит как обед.;pct_4
95;Чжоу;Азиатская кухня;Завтрак;Easy;15;"[""Отварите рис на воде."",""Добавьте имбирь и зелень.""]";"[""Азиатская кухня"",""Breakfast""]";180;2;Чжоу - это традиционная китайская каша, которую можно подавать на завтрак или ужин.;pct_5
96;Дун Фан;Азиатская кухня;Ужин;Medium;35;"[""Обжарьте рис с яйцом и овощами."",""Добавьте соус соевый и терияки, перемешайте.""]";"[""Азиатская кухня"",""Diner""]";320;3;Этот простой рис с овощами и соусом подойдет для ужина.;pct_6
97;Лай Мянь;Азиатская кухня;Обед;Hard;50;"[""Сварите лапшу."",""Обжарьте мясо с овощами и соусом."",""Перемешайте с лапшой.""]";"[""Азиатская кухня"",""Lunch""]";380;4;Лай Мянь - это горячее блюдо с лапшой, мясом и овощами.;pct_1
98;Бао цзи;Азиатская кухня;Завтрак;Medium;25;"[""Сварите тесто для бао."",""Начините мясом и зеленью."",""Приготовьте на пару.""]";"[""Азиатская кухня"",""Breakfast""]";230;3;Бао цзи - это паровые булочки с мясным фаршем, популярные на завтрак в Китае.;pct_2
99;Паста карбонара;Русская кухня;Обед;Medium;20;"[""Вскипятить воду и сварить спагетти"",""Обжарить мелко нарезанный бекон"",""Смешать бекон с отваренной пастой и яйцами"",""Подавать горячим""]";"[""Italian"",""Lunch""]";600;2;Паста карбонара - классическое итальянское блюдо, готовится очень быстро и просто.;pct_3
100;Пицца Маргарита;Русская кухня;Ужин;Medium;30;"[""Приготовить тесто для пиццы"",""Раскатать тесто и намазать томатным соусом"",""Выложить на тесто нарезанные помидоры и моцареллу"",""Припосыпать базиликом"",""Выпекать в духовке""]";"[""Italian"",""Diner""]";700;4;"Пицца ""Маргарита"" - одно из самых популярных блюд не только в Италии, но и во всем мире.";pct_1
101;Ризотто с грибами;Русская кухня;Ужин;Hard;45;"[""Обжарить лук и чеснок"",""Добавить рис и залить бульоном"",""Постепенно добавлять нарезанные грибы и перемешивать"",""Добавить сливочное масло и сыр"",""Подавать горячим""]";"[""Italian"",""Diner""]";500;3;Ризотто с грибами - изысканное блюдо итальянской кухни, особенно популярное в осенне-зимний период.;pct_2
102;Брускетта с помидорами;Русская кухня;Завтрак;Easy;15;"[""Нарезать помидоры и базилик"",""Обжарить на гриле ломтики хлеба"",""Выложить помидоры и базилик сверху"",""Полить оливковым маслом"",""Посолить и поперчить""]";"[""Italian"",""Breakfast""]";400;2;Брускетта - отличное блюдо для легкого завтрака или перекуса, очень просто и быстро в приготовлении.;pct_3
103;Лазанья;Русская кухня;Ужин;Hard;60;"[""Приготовить соус болоньезе и бешамельный соус"",""Нарезать листы лазаньи и сложить их в форму"",""Перемежать слои соусов и сыра"",""Выпекать в духовке""]";"[""Italian"",""Diner""]";800;6;Лазанья - традиционное итальянское блюдо, которое готовится долго, но результат стоит того.;pct_4
104;Панна котта;Русская кухня;Десерт;Easy;120;"[""Смешать желатин и сливки"",""Добавить ваниль и сахар"",""Поставить в холодильник до застывания"",""Подавать с фруктами или ягодами""]";"[""Italian"",""Breakfast""]";300;4;Панна котта - легкий и нежный десерт, который подойдет как для повседневного, так и для праздничного стола.;pct_5
105;Минестроне;Русская кухня;Обед;Medium;40;"[""Обжарить лук, морковь и сельдерей"",""Добавить бульон и нарезанные овощи"",""Варить до готовности"",""Добавить макароны и зелень"",""Подавать горячим""]";"[""Italian"",""Lunch""]";450;4;Минестроне - суп из разных овощей, макарон и зелени, который погреет вас в холодные дни.;pct_6
106;Тирамису;Русская кухня;Десерт;Medium;60;"[""Смешать молоко с яйцами и сахаром"",""Варить крем"",""Поставить в холодильник"",""Взбить маскарпоне"",""Собрать слои савоярди, крема и какао 6. Положить в холодильник""]";"[""Italian"",""Breakfast""]";400;6;Тирамису - знаменитый итальянский десерт, который популярен во всем мире своим нежным вкусом и ароматом.;pct_1
107;Оссобуко;Русская кухня;Ужин;Hard;120;"[""Обжарить мясо"",""Добавить овощи и залить вином"",""Тушить до готовности"",""Подавать с гарниром""]";"[""Italian"",""Diner""]";700;2;Оссобуко - традиционное мясное блюдо итальянской кухни, готовится долго, но вкус неповторим.;pct_2
108;Шоколадный мусс;Русская кухня;Десерт;Easy;30;"[""Растопить шоколад и сливки"",""Взбить смесь до образования мусса"",""Поставить в холодильник до застывания"",""Подавать с ягодами""]";"[""Italian"",""Breakfast""]";500;4;Шоколадный мусс - нежный десерт с насыщенным шоколадным вкусом, прекрасно дополнит ваш обед или ужин.;pct_3
109;Капрезе;Русская кухня;Завтрак;Easy;10;"[""Нарезать помидоры и моцареллу"",""Перемежать слои помидоров и сыра"",""Полить оливковым маслом"",""Посолить и поперчить""]";"[""Italian"",""Breakfast""]";300;2;Капрезе - классическое итальянское блюдо из свежих помидоров, моцареллы и базилика, идеально для легкого завтрака.;pct_4
110;Равиоли с рикоттой и шпинатом;Русская кухня;Обед;Medium;60;"[""Смешать рикотту с шпинатом и приправами"",""Вырезать круги теста и на каждый выложить начинку"",""Сложить в половину и прижать края"",""Варить в подсоленной воде"",""Подавать с соусом""]";"[""Italian"",""Lunch""]";550;4;Равиоли с рикоттой и шпинатом - изысканное блюдо, которое станет отличным выбором для сытного обеда.;pct_5
111;Фокачча;Русская кухня;Завтрак;Easy;30;"[""Замешать тесто из муки, воды, дрожжей и соли"",""Раскатать и нарезать тесто"",""Полить оливковым маслом и посыпать травами"",""Выпекать в духовке""]";"[""Italian"",""Breakfast""]";400;3;Фокачча - итальянский хлеб с травами и маслом, замечательно подходит на завтрак.;pct_6
112;Пепперони пицца;Русская кухня;Ужин;Medium;25;"[""Приготовить тесто для пиццы"",""Намазать соусом и выложить пепперони"",""Положить нарезанный сыр"",""Выпекать в духовке""]";"[""Italian"",""Diner""]";650;4;Пепперони пицца - популярное итальянское блюдо с острой колбасой, и острым перцем, которое идеально для ужинов в кругу семьи.;pct_1
113;Мини канинье сарды;Русская кухня;Обед;Medium;40;"[""Подготовить начинку из сардель, хлеба, петрушки и чеснока"",""Выложить наружное тесто и выкладывать начинку"",""Закрыть внутренним тестом"",""Запекать в духовке""]";"[""Italian"",""Lunch""]";500;6;Мини канинье сарды - аппетитные итальянские пирожки с начинкой из сардель, которые подойдут как основное блюдо обеда.;pct_2
114;Оливье салат;Русская кухня;Обед;Easy;20;"[""Нарезать отварные овощи, мясо и яйца"",""Смешать все ингредиенты"",""Добавить майонез"",""Посолить и поперчить по вкусу""]";"[""Italian"",""Lunch""]";400;4;Оливье салат - популярное блюдо из отварных овощей с майонезом, которое подойдет как для обеда, так и для ужина.;pct_3
115;Каприччоза;Русская кухня;Обед;Medium;30;"[""Приготовить тесто"",""Выложить начинку из куриной грудки, помидоров, сыра и майонеза"",""Сложить в виде бумажного короба и запекать"",""Подавать горячим""]";"[""Italian"",""Lunch""]";600;2;Каприччоза - аппетитные и нежные конвертики из теста с начинкой, которые станут отличным ужином.;pct_4
116;Маринованные оливки;Русская кухня;Перекус;Easy;10;"[""Помыть оливки и залить их маринадом из оливкового масла, чеснока, лимонной цедры и специй"",""Ставить в холодильник на несколько часов""]";"[""Italian"",""Breakfast""]";200;1;Маринованные оливки - замечательный перекус, который можно подавать в качестве закуски к напиткам.;pct_5
117;Капуччино;Русская кухня;Завтрак;Easy;5;"[""Сварить кофе"",""Вспенить молоко"",""Полить молоко на кофе""]";"[""Italian"",""Breakfast""]";100;1;Капуччино - популярный итальянский напиток, который идеально подойдет для утреннего завтрака.;pct_6
118;Спагетти с мидиями;Русская кухня;Ужин;Medium;30;"[""Подготовить мидии"",""Обжарить лук и чеснок"",""Добавить мидии и вино"",""Добавить спагетти и кипяток"",""Подавать горячим""]";"[""Italian"",""Diner""]";600;2;Спагетти с мидиями - изысканное блюдо итальянской кухни, которое прекрасно подойдет для ужинов в кругу близких.;pct_1
119;Паэлья;Европейская кухня;Ужин;Medium;45;"[""Обжарить лук и чеснок на сковороде."",""Добавить рис, бульон, овощи, морепродукты, специи."",""Тушить под крышкой до готовности.""]";"[""Европейская кухня"",""Diner""]";320;4;Паэлья - традиционное испанское блюдо с рисом и морепродуктами.;pct_2
120;Лазанья;Европейская кухня;Обед;Hard;60;"[""Приготовить мясной соус."",""Смонтировать слои мясного соуса и листов лазаньи, посыпать сыром."",""Запекать."",""Подавать горячим.""]";"[""Европейская кухня"",""Lunch""]";500;6;Лазанья - итальянское блюдо из теста, мясного соуса и сыра.;pct_3
121;Бефстроганов;Европейская кухня;Ужин;Medium;40;"[""Обжарить ломтики говядины, добавить лук, грибы, сливки."",""Тушить до гомогенности."",""Подавать с гарниром.""]";"[""Европейская кухня"",""Diner""]";380;4;Бефстроганов - русское блюдо с говядиной, луком и грибами в сливочном соусе.;pct_4
122;Рататуй;Европейская кухня;Обед;Medium;30;"[""Обжарить порезанные овощи поочередно."",""Смешать и тушить до готовности."",""Подавать закуской или гарниром.""]";"[""Европейская кухня"",""Lunch""]";200;3;Рататуй - французское блюдо из тушеных овощей.;pct_5
123;Спагетти карбонара;Европейская кухня;Обед;Medium;20;"[""Варить спагетти."",""Обжаривать бекон с чесноком в сливочном масле."",""Добавить яично-сырный соус, смешать."",""Подавать горячим.""]";"[""Европейская кухня"",""Lunch""]";450;2;Спагетти карбонара - итальянское блюдо с беконом, яйцом и сыром.;pct_6
124;Свинина с яблоками;Европейская кухня;Обед;Medium;35;"[""Обжаривать порционные куски свинины, добавить яблоки, тушить до готовности."",""Подавать с любым гарниром.""]";"[""Европейская кухня"",""Lunch""]";300;4;Свинина с яблоками - сочетание мяса и фруктов в одном блюде.;pct_1
125;Киш с лососем и шпинатом;Европейская кухня;Ужин;Hard;50;"[""Приготовить тесто для киша."",""Запекать с начинкой из лосося, шпината и сливок."",""Подавать в разрезанном виде.""]";"[""Европейская кухня"",""Diner""]";380;4;Киш с лососем и шпинатом - французское блюдо с пирогом из теста и начинкой из мягкого лосося и шпината.;pct_2
126;Фаршированные болгарские перцы;Европейская кухня;Ужин;Medium;40;"[""Приготовить фарш, начинить перцы."",""Тушить в духовке до готовности."",""Подавать горячими.""]";"[""Европейская кухня"",""Diner""]";250;4;Болгарские перцы, фаршированные мясом и рисом, запеченные в духовке.;pct_3
127;Курица по-французски;Европейская кухня;Ужин;Medium;55;"[""Обжаривать куриные кусочки."",""Добавить лук, морковь, сливки, вино."",""Тушить до готовности."",""Подавать с картофелем или рисом.""]";"[""Европейская кухня"",""Diner""]";320;4;Курица по-французски - блюдо с курицей, овощами и сливками по французскому рецепту.;pct_4
128;Брускетта с помидорами и базиликом;Европейская кухня;Завтрак;Easy;15;"[""Обжарить хлебные ломтики."",""Намазать помидоры, базилик и масло."",""Подавать теплыми.""]";"[""Европейская кухня"",""Breakfast""]";150;2;Брускетта - итальянское закусочное блюдо с помидорами, базиликом и оливковым маслом.;pct_5
129;Паста с томатным соусом;Европейская кухня;Обед;Easy;20;"[""Варить пасту."",""Приготовить томатный соус с чесноком, луком, специями."",""Смешать и подавать горячим.""]";"[""Европейская кухня"",""Lunch""]";350;2;Паста с томатным соусом - простое и вкусное итальянское блюдо.;pct_6
130;Картофельное пюре с котлетами;Европейская кухня;Обед;Medium;30;"[""Варить картофель, приготовить котлеты."",""Пюрировать картофель."",""Подавать с котлетами и соусом.""]";"[""Европейская кухня"",""Lunch""]";380;4;Картофельное пюре с котлетами - классическое сочетание картофельного пюре и сочных котлет.;pct_1
131;Омлет с овощами;Европейская кухня;Завтрак;Easy;15;"[""Взбить яйца."",""Обжарить мелко нарезанные овощи."",""Добавить яйца, разбавить."",""Подавать жареным.""]";"[""Европейская кухня"",""Breakfast""]";250;2;Омлет с овощами - легкое и питательное блюдо для завтрака.;pct_2
132;Фрикадельки со сливочным соусом;Европейская кухня;Ужин;Medium;40;"[""Приготовить фрикадельки из фарша."",""Обжарить их, добавить сливки, тушить."",""Подавать с гарниром.""]";"[""Европейская кухня"",""Diner""]";350;4;Фрикадельки со сливочным соусом - мясные фрикадельки под сливочным соусом.;pct_3
133;Рататуй с сыром;Европейская кухня;Обед;Medium;40;"[""Приготовить рататуй (тушеные овощи), запекать в форме сыром."",""Подавать горячим.""]";"[""Европейская кухня"",""Lunch""]";280;3;Рататуй с сыром - комбинация французского рататуя и сыра.;pct_1
134;Пельмени с сметаной;Европейская кухня;Ужин;Medium;30;"[""Варить пельмени."",""Подавать с сметаной и зеленью.""]";"[""Европейская кухня"",""Diner""]";400;4;Пельмени - классическое русское блюдо из теста и мясной начинки.;pct_2
135;Суп-пюре из брокколи;Европейская кухня;Обед;Easy;25;"[""Варить брокколи, морковь, лук."",""Пюрировать овощи, добавить сливки."",""Подавать горячим.""]";"[""Европейская кухня"",""Lunch""]";200;2;Суп-пюре из брокколи - легкий и полезный суп с нежным вкусом.;pct_3
136;Картофельный салат с огурцами и луком;Европейская кухня;Обед;Easy;20;"[""Варить картофель, нарезать огурцы, лук."",""Смешать с майонезом."",""Подавать охлажденным.""]";"[""Европейская кухня"",""Lunch""]";250;3;Картофельный салат - классический салат из картофеля с огурцами, луком и майонезом.;pct_4
137;Классический тирамису;Европейская кухня;Ужин;Hard;40;"[""Приготовить крем."",""Сложить слои печенья, пропитанного кофе, и крема."",""Посыпать какао."",""Охладить.""]";"[""Европейская кухня"",""Diner""]";350;6;Тирамису - итальянский десерт на основе маскарпоне, кофе и крема.;pct_5
138;Минестроне;Европейская кухня;Обед;Medium;35;"[""Обжарить лук, морковь, сельдерей."",""Добавить бульон, картофель, помидоры, фасоль."",""Тушить до готовности."",""Подавать с зеленью.""]";"[""Европейская кухня"",""Lunch""]";300;4;Минестроне - итальянский суп из красной фасоли и разнообразных овощей.;pct_6
139;Пекинская утка;Азиатская кухня;Ужин;Hard;180;"[""Мариновать утку в специях"",""Запечь в духовке до золотистой корочки"",""Нарезать и подавать с лепешками и соусом хойсин""]";"[""Азиатская кухня"",""Diner""]";900;4;Пекинская утка - традиционное китайское блюдо, требующее некоторого времени на приготовление, но неповторимо по вкусу.;pct_1
140;Суши;Азиатская кухня;Обед;Medium;60;"[""Приготовить рис и уксусный микс"",""Нарезать свежую рыбу и овощи"",""Наматывать рис на лист водоросли с начинкой"",""Нарезать и подавать с имбирным маринадом и васаби""]";"[""Азиатская кухня"",""Lunch""]";600;2;Суши - популярное японское блюдо, требующее определенных навыков при готовке, но порадует вас своим вкусом и видом.;pct_2
141;Том ям;Азиатская кухня;Обед;Medium;40;"[""Сварить бульон из кокосового молока и специй"",""Добавить мясо, грибы и овощи"",""Подавать горячим с лимонной травой""]";"[""Азиатская кухня"",""Lunch""]";500;4;Том ям - пикантный тайский суп с кокосовым молоком, который прекрасно согреет вас в холодные дни.;pct_3
142;Пад тай;Азиатская кухня;Ужин;Medium;30;"[""Обжарить лук, чеснок и перец чили"",""Добавить морепродукты, таиландские лапшу и соус"",""Подавать горячим с арахисом и лаймом""]";"[""Азиатская кухня"",""Diner""]";550;2;Пад тай - тайское блюдо из лапши с острым соусом и морепродуктами, которое легко и быстро приготовить дома.;pct_4
143;Кимчи;Азиатская кухня;Обед;Easy;60;"[""Мариновать капусту в соли и специях"",""Добавить чеснок, имбирь, перец и рыбий соус"",""Дать настояться несколько дней""]";"[""Азиатская кухня"",""Lunch""]";300;6;Кимчи - корейская закуска из квашеной капусты, является не только вкусным, но и полезным блюдом.;pct_5
144;Рамен;Азиатская кухня;Обед;Hard;90;"[""Варить бульон из куриного мяса и костей"",""Добавить лапшу, яйца, мясо и овощи"",""Подавать горячим с зеленью и луком""]";"[""Азиатская кухня"",""Lunch""]";700;4;Рамен - японский суп с лапшой, который готовится долго, но результат стоит ожидания.;pct_6
145;Хара-ка;Азиатская кухня;Ужин;Medium;45;"[""Обжарить куриное филе"",""Добавить карри-пасту, кокосовое молоко и овощи"",""Добавить маслины и специи"",""Подавать с рисом""]";"[""Азиатская кухня"",""Diner""]";600;2;Хара-ка - таиландское блюдо с сочным мясом и ароматным карри, которое освежает и насыщает.;pct_1
146;Бибимбап;Азиатская кухня;Обед;Medium;40;"[""Обжарить овощи и мясо"",""Приготовить рис"",""Выложить все ингредиенты в миску"",""Добавить готовый соус"",""Перемешать и подавать""]";"[""Азиатская кухня"",""Lunch""]";550;4;Бибимбап - корейское блюдо из риса с овощами, мясом и острым соусом, прекрасно подойдет для обеда.;pct_2
147;Филе макау;Азиатская кухня;Ужин;Hard;90;"[""Замочить куриное филе в маринаде"",""Завернуть в бекон"",""Запечь в духовке"",""Подавать с овощами и гарниром""]";"[""Азиатская кухня"",""Diner""]";600;2;Филе макау - блюдо макаунской кухни с сочным филе и нежной начинкой, которое порадует вас своим вкусом.;pct_3
